Pivot Table (Amazon Sale Report),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Row Labels,Sum of Amount,Row Labels,Sum of Qty,,Row Labels,Sum of Amount,Sum of Qty,,Row Labels,Sum of Qty,,,
,,,Blouse,458408.18,Blouse,863,,Amazon,54322151,84087,,3XL,13524,,,
,,,Bottom,150667.98,Bottom,398,,Merchant,24270527.3,32562,,4XL,398,,,
,,,Dupatta,915,Dupatta,3,,(blank),,,,5XL,513,,,
,,,Ethnic Dress,791217.66,Ethnic Dress,1053,,Grand Total,78592678.3,116649,,6XL,688,,,
,,,kurta,21299546.7,kurta,45045,,,,,,Free,366,,,
,,,Saree,123933.76,Saree,152,,,,,,L,20000,,,
,,,Set,39204124.03,Set,45289,,,,,,M,20447,,,
,,,Top,5347792.3,Top,9903,,,,,,S,15331,,,
,,,Western Dress,11216072.69,Western Dress,13943,,,,,,XL,18923,,,
,,,(blank),,(blank),,,,,,,XS,9943,,,
,,,Grand Total,78592678.3,Grand Total,116649,,,,,,XXL,16516,,,
,,,,,,,,,,,,Grand Total,116649,,,
